pair_id,leader_id,follower_id,start_frame,end_frame,lane_id,duration_seconds,mean_spacing,std_spacing,min_spacing,max_spacing,mean_speed_diff,std_speed_diff,min_speed_diff,max_speed_diff,mean_time_headway,std_time_headway,min_time_headway,max_time_headway
1,47.0,64.0,585,802,1,21.8,52.43541004587156,18.544819183420156,35.108869999999996,99.71017,2.834683348623853,2.7065791249713222,-1.4278999999999993,8.23191,4.712109495480534,1.1673345307523408,3.3876642134314623,8.140316746034143
2,2142.0,2153.0,6724,6928,1,20.5,66.29164565853658,15.14216857452134,45.026089999999996,99.58568000000002,2.6674040975609756,1.9534577876707504,-0.6089700000000011,6.104480000000001,4.725767845651741,1.4248454451924057,2.7496264712058154,8.117608123992287
3,2.0,17.0,469,728,1,26.0,36.462379461538454,10.120736362969406,19.76957,57.28562999999997,1.3568578076923077,1.2913202127019083,-1.8094900000000003,4.8077700000000005,2.816498798809114,0.34917300448120137,2.1665555183253793,4.071330323236551
4,17.0,25.0,502,758,1,25.700000000000003,36.953688949416346,10.31437866748612,21.96888,50.71495999999996,0.8742410894941633,1.4424247221325093,-4.184410000000001,3.0192000000000014,2.712494046992901,0.20712586774123126,2.11898629258355,3.2510873473708437
5,25.0,39.0,526,784,1,25.900000000000002,31.291240270270272,7.289394767054458,21.874769999999998,41.43430999999998,0.6285314285714284,1.082152620531972,-1.992939999999999,2.4333099999999988,2.2780012063097255,0.1861608841473257,1.9226059241081908,3.1411419957636473
6,39.0,47.0,549,804,1,25.6,38.0672362890625,14.534919501610268,19.827300000000008,58.492380000000026,1.3812526953125002,1.4222215143452737,-1.7483299999999993,4.42052,2.7862395248106293,0.45499087806437644,1.852333058797964,3.4134659201975235
7,64.0,70.0,609,899,1,29.1,24.94870295532646,6.391851057873509,17.848550000000017,45.258579999999995,0.6972476975945019,1.652018993225104,-1.7174200000000006,4.297009999999998,2.0395384077331062,0.27945701778016957,1.561964582285613,2.790723190761942
8,70.0,80.0,640,924,1,28.5,28.576372842105265,2.3241431724885744,23.404300000000035,31.775379999999984,-0.12455214035087729,1.016191021164189,-2.47757,2.322330000000001,2.2823778915892508,0.5131689451146143,1.4454159124891808,2.9796101233966548
9,80.0,92.0,669,939,1,27.1,30.384951918819183,5.130277772424605,21.53241,38.38135999999997,0.21891505535055353,1.4257791756528662,-2.28383,3.70092,2.293755489361574,0.2128327502555081,1.8420617454286008,3.15392783909014
10,92.0,101.0,700,963,1,26.400000000000002,40.377527121212125,5.279308284363447,33.75550999999999,49.746500000000026,0.39751352272727264,1.0997922363754697,-2.65024,3.101330000000001,3.0616867599674995,0.20435380496419872,2.533367288194328,3.5045294439584813
